"Fenoterol, ipratropium drug combination", "Fenoterol, ipratropium drug combination"
"Desloratadine", "Desloratadine"
"Policosanol", "Policosanol"
"Atamestane", "Atamestane"
"Armodafinil", "Armodafinil"
"Epinephrine", "Epinephrine"
"Glycopyrrolate", "Glycopyrrolate"
"Povidone", "Povidone"
"Tetanus Antitoxin", "Tetanus Antitoxin"
"Levorphanol", "Levorphanol"
"Alovudine", "Alovudine"
"Anacetrapib", "Anacetrapib"
"Ciprofloxacin", "Ciprofloxacin"
"HIV Integrase Inhibitors", "HIV Integrase Inhibitors"
"Ketorolac Tromethamine", "Ketorolac Tromethamine"
"Vitamin MK 7", "Vitamin MK 7"
"Carbovir", "Carbovir"
"Naproxen", "Naproxen"
"Imidazole", "Imidazole"
"Daclizumab", "Daclizumab"
"Maxadilan protein, insect", "Maxadilan protein, insect"
"Clavulanic Acids", "Clavulanic Acids"
"Ado-trastuzumab emtansine", "Ado-trastuzumab emtansine"
"Nicorandil", "Nicorandil"
"Pravastatin", "Pravastatin"
"Benserazide, levodopa drug combination", "Benserazide, levodopa drug combination"
"Doxifluridine", "Doxifluridine"
"Amdinocillin", "Amdinocillin"
"Bexarotene", "Bexarotene"
"abobotulinumtoxinA", "abobotulinumtoxinA"
"Catalase", "Catalase"
"Fesoterodine", "Fesoterodine"
"O-(chloroacetylcarbamoyl)fumagillol", "O-(chloroacetylcarbamoyl)fumagillol"
"Tenofovir", "Tenofovir"
"Diazepam", "Diazepam"
"Immunoglobulins, Intravenous", "Immunoglobulins, Intravenous"
"Rifapentine", "Rifapentine"
"Molgramostim", "Molgramostim"
"Racepinephrine", "Racepinephrine"
"Cyproheptadine", "Cyproheptadine"
"Sulbactam", "Sulbactam"
"Iron", "Iron"
"Etravirine", "Etravirine"
"Neostigmine", "Neostigmine"
"Otamixaban", "Otamixaban"
"Cyproterone", "Cyproterone"
"HBOC 201", "HBOC 201"
"Flumazenil", "Flumazenil"
"Plasma Substitutes", "Plasma Substitutes"
"Erythromycin Ethylsuccinate", "Erythromycin Ethylsuccinate"
"Novobiocin", "Novobiocin"
"Levan", "Levan"
"Zolpidem", "Zolpidem"
"Vidarabine Phosphate", "Vidarabine Phosphate"
"Trametinib", "Trametinib"
"Atazanavir Sulfate", "Atazanavir Sulfate"
"Nelfinavir", "Nelfinavir"
"Dexketoprofen trometamol", "Dexketoprofen trometamol"
"Benzyl Alcohol", "Benzyl Alcohol"
"Adenosine A1 Receptor Antagonists", "Adenosine A1 Receptor Antagonists"
"Sulfanilamides", "Sulfanilamides"
"Triamcinolone hexacetonide", "Triamcinolone hexacetonide"
"N-monoacetylcystine", "N-monoacetylcystine"
"Andrographolide", "Andrographolide"
"Secoisolariciresinol", "Secoisolariciresinol"
"Calcitonin", "Calcitonin"
"Hematoporphyrins", "Hematoporphyrins"
"Lypressin", "Lypressin"
"Echinocandins", "Echinocandins"
"SANORG 34006", "SANORG 34006"
"N-(2-acetyl-4,6-dimethylphenyl)-3-(3,4-dimethylisoxazol-5-ylsulfamoyl)thiophene-2-carboxamide", "N-(2-acetyl-4,6-dimethylphenyl)-3-(3,4-dimethylisoxazol-5-ylsulfamoyl)thiophene-2-carboxamide"
"Bupropion hydrochloride, naltrexone hydrochoride drug combination", "Bupropion hydrochloride, naltrexone hydrochoride drug combination"
"Cortivazol", "Cortivazol"
"Silodosin", "Silodosin"
"Antiviral Agents", "Antiviral Agents"
"Receptors, Antigen, B-Cell", "Receptors, Antigen, B-Cell"
"Indium-111-octreotide", "Indium-111-octreotide"
"Oxaliplatin", "Oxaliplatin"
"Armin", "Armin"
"Carbocysteine", "Carbocysteine"
"Abciximab", "Abciximab"
"Beta Carotene", "Beta Carotene"
"Celiprolol", "Celiprolol"
"Interferon beta-1a", "Interferon beta-1a"
"beta-Lactams", "beta-Lactams"
"Streptozocin", "Streptozocin"
"Dipeptidyl-Peptidase IV Inhibitors", "Dipeptidyl-Peptidase IV Inhibitors"
"Complement Inactivating Agents", "Complement Inactivating Agents"
"Chlorhexidine", "Chlorhexidine"
"Antifungal Agents", "Antifungal Agents"
"Cefditoren pivoxil", "Cefditoren pivoxil"
"Peppermint oil", "Peppermint oil"
"Namitecan", "Namitecan"
"Acetylcysteine", "Acetylcysteine"
"Misonidazole", "Misonidazole"
"Thymopentin", "Thymopentin"
"Insulin Lispro", "Insulin Lispro"
"Rolofylline", "Rolofylline"
"Alkylating Agents", "Alkylating Agents"
"Fluindione", "Fluindione"
"Danaproid", "Danaproid"
"Imiquimod", "Imiquimod"
"Gefitinib", "Gefitinib"
"Boron", "Boron"
"Veratrum Alkaloids", "Veratrum Alkaloids"
"KRN 7000", "KRN 7000"
"Oviol", "Oviol"
"Meclizine", "Meclizine"
"Nafcillin", "Nafcillin"
"Penicillins", "Penicillins"
"Chlorpropamide", "Chlorpropamide"
"Penciclovir", "Penciclovir"
"Mebendazole", "Mebendazole"
"Interferon beta-1b", "Interferon beta-1b"
"Isradipine", "Isradipine"
"Rebamipide", "Rebamipide"
"Eosinophil Peroxidase", "Eosinophil Peroxidase"
"Lisuride", "Lisuride"
"Raclopride", "Raclopride"
"Reslizumab", "Reslizumab"
"Glucuronyl glucosamine glycan sulfate", "Glucuronyl glucosamine glycan sulfate"
"Interferon omega 1", "Interferon omega 1"
"Neosaxitoxin", "Neosaxitoxin"
"Gadolinium 1,4,7,10-tetraazacyclododecane-N,N',N'',N'''-tetraacetate", "Gadolinium 1,4,7,10-tetraazacyclododecane-N,N',N'',N'''-tetraacetate"
"7-hydroxystaurosporine", "7-hydroxystaurosporine"
"Lubricant Eye Drops", "Lubricant Eye Drops"
"Cyproterone acetate, ethinyl estradiol drug combination", "Cyproterone acetate, ethinyl estradiol drug combination"
"Mefenamic Acid", "Mefenamic Acid"
"Caspase Inhibitors", "Caspase Inhibitors"
"Deflazacort", "Deflazacort"
"4-Aminopyridine", "4-Aminopyridine"
"Acetylcarnitine", "Acetylcarnitine"
"Pulmonary Surfactant-Associated Protein D", "Pulmonary Surfactant-Associated Protein D"
"NG-Nitroarginine Methyl Ester", "NG-Nitroarginine Methyl Ester"
"Insulin degludec, insulin aspart drug combination", "Insulin degludec, insulin aspart drug combination"
"Zileuton", "Zileuton"
"Deoxyuridine", "Deoxyuridine"
"GABA-A Receptor Agonists", "GABA-A Receptor Agonists"
"Fibrin Tissue Adhesive", "Fibrin Tissue Adhesive"
"Clonidine", "Clonidine"
"3-n-butylphthalide", "3-n-butylphthalide"
"Pipamperone", "Pipamperone"
"Demeclocycline", "Demeclocycline"
"3-(2,2,2-trimethylhydrazine)propionate", "3-(2,2,2-trimethylhydrazine)propionate"
"gamma-Aminobutyric Acid", "gamma-Aminobutyric Acid"
"Macitentan", "Macitentan"
"SR 46349B", "SR 46349B"
"Vidarabine", "Vidarabine"
"Insulin glulisine", "Insulin glulisine"
"3,4,4a,10b-tetrahydro-4-propyl-2H,5H-(1)benzopyrano(4,3-b)-1,4-oxazin-9-ol", "3,4,4a,10b-tetrahydro-4-propyl-2H,5H-(1)benzopyrano(4,3-b)-1,4-oxazin-9-ol"
"Epothilone B", "Epothilone B"
"Fosphenytoin", "Fosphenytoin"
"Proteinase Inhibitory Proteins, Secretory", "Proteinase Inhibitory Proteins, Secretory"
"Salmeterol Xinafoate", "Salmeterol Xinafoate"
"Pramipexole", "Pramipexole"
"Isotretinoin", "Isotretinoin"
"Fucoidan", "Fucoidan"
"Grepafloxacin", "Grepafloxacin"
"1-(1-(3-((6-chloronaphthalen-2-yl)sulfonyl)-2-hydroxypropanoyl)piperidin-4-yl)tetrahydropyrimidin-2(1H)-one", "1-(1-(3-((6-chloronaphthalen-2-yl)sulfonyl)-2-hydroxypropanoyl)piperidin-4-yl)tetrahydropyrimidin-2(1H)-one"
"Pregabalin", "Pregabalin"
"Calcium ascorbate", "Calcium ascorbate"
"Orantinib", "Orantinib"
"Everolimus", "Everolimus"
"Cromakalim", "Cromakalim"
"Pazufloxacin", "Pazufloxacin"
"Adrenergic beta-Agonists", "Adrenergic beta-Agonists"
"Alendronate", "Alendronate"
"Biperiden lactate", "Biperiden lactate"
"Keratolytic Agents", "Keratolytic Agents"
"Azelaic acid", "Azelaic acid"
"Glycolic acid", "Glycolic acid"
"Tocolytic Agents", "Tocolytic Agents"
"Allicin", "Allicin"
"Polymyxins", "Polymyxins"
"Estrogens, conjugated synthetic B", "Estrogens, conjugated synthetic B"
"Cediranib", "Cediranib"
"Polystyrene sulfonic acid", "Polystyrene sulfonic acid"
"Anesthetics, Inhalation", "Anesthetics, Inhalation"
"Ritanserin", "Ritanserin"
"Tiotropium Bromide", "Tiotropium Bromide"
"Allyl sulfide", "Allyl sulfide"
"Sumatriptan", "Sumatriptan"
"Glycocholic Acid", "Glycocholic Acid"
"Valacyclovir", "Valacyclovir"
"Lisofylline", "Lisofylline"
"Meglitinide", "Meglitinide"
"Lupus Coagulation Inhibitor", "Lupus Coagulation Inhibitor"
"Alicaforsen", "Alicaforsen"
"Phosphodiesterase 3 Inhibitors", "Phosphodiesterase 3 Inhibitors"
"Sulthiame", "Sulthiame"
"Eprosartan", "Eprosartan"
"Technetium Tc 99m-ethylenedicysteine", "Technetium Tc 99m-ethylenedicysteine"
"Thymic humoral factor gamma 2", "Thymic humoral factor gamma 2"
"Clenbuterol", "Clenbuterol"
"Ramipril", "Ramipril"
"BB 1101", "BB 1101"
"Aminocaproic Acid", "Aminocaproic Acid"
"Penclomedine", "Penclomedine"
"Plasma-lyte 148", "Plasma-lyte 148"
"Bendamustine Hydrochloride", "Bendamustine Hydrochloride"
"Etoricoxib", "Etoricoxib"
"poly(I).poly(c12,U)", "poly(I).poly(c12,U)"
"Bromazepam", "Bromazepam"
"Bacitracin", "Bacitracin"
"Mitomycin", "Mitomycin"
"Bucindolol", "Bucindolol"
"Somatostatin", "Somatostatin"
"Androgen Antagonists", "Androgen Antagonists"
"Cholic Acids", "Cholic Acids"
"Avobenzone", "Avobenzone"
"Tinoridine", "Tinoridine"
"Clevudine", "Clevudine"
"Dexamethasone 21-phosphate", "Dexamethasone 21-phosphate"
"Diethylenetriamine", "Diethylenetriamine"
"Inositol", "Inositol"
"Antifibrinolytic Agents", "Antifibrinolytic Agents"
"Granisetron", "Granisetron"
"Angiotensin II Type 1 Receptor Blockers", "Angiotensin II Type 1 Receptor Blockers"
"Primidone", "Primidone"
"Selenic Acid", "Selenic Acid"
"Aminolevulinic Acid", "Aminolevulinic Acid"
"TIMP3 protein, human", "TIMP3 protein, human"
"Bromocriptine", "Bromocriptine"
"Piperacillin, tazobactam drug combination", "Piperacillin, tazobactam drug combination"
"Mafenide", "Mafenide"
"Sulforafan", "Sulforafan"
"Cromolyn Sodium", "Cromolyn Sodium"
"Triclabendazole", "Triclabendazole"
"Butoconazole", "Butoconazole"
"Endocrine Disruptors", "Endocrine Disruptors"
"Thioctic Acid", "Thioctic Acid"
"Pixantrone", "Pixantrone"
"Montelukast", "Montelukast"
"Malathion", "Malathion"
"Vindesine", "Vindesine"
"Chlorothiazide", "Chlorothiazide"
"Pyridoxal isonicotinoyl hydrazone", "Pyridoxal isonicotinoyl hydrazone"
"Antimicrobial Cationic Peptides", "Antimicrobial Cationic Peptides"
"Anesthetics, Local", "Anesthetics, Local"
"N-acetyl-1-aspartylglutamic acid", "N-acetyl-1-aspartylglutamic acid"
"Atomoxetine Hydrochloride", "Atomoxetine Hydrochloride"
"Aclacinomycins", "Aclacinomycins"
"Theodrenaline", "Theodrenaline"
"Prednisolone", "Prednisolone"
"Vinca Alkaloids", "Vinca Alkaloids"
"Fusidic Acid", "Fusidic Acid"
"Ximelagatran", "Ximelagatran"
"Titanium dioxide", "Titanium dioxide"
"Nedaplatin", "Nedaplatin"
"Adapalene", "Adapalene"
"L 697661", "L 697661"
"Peripheral Nervous System Agents", "Peripheral Nervous System Agents"
"Tacrolimus", "Tacrolimus"
"Amoxicillin", "Amoxicillin"
"Irbesartan", "Irbesartan"
"Parthenolide", "Parthenolide"
"Technetium Tc 99m Pentetate", "Technetium Tc 99m Pentetate"
"Fenoldopam", "Fenoldopam"
"Landiolol", "Landiolol"
"Methylphenidate", "Methylphenidate"
"Zinc", "Zinc"
"R 306465", "R 306465"
"Mineralocorticoids", "Mineralocorticoids"
"Sodium Potassium Chloride Symporter Inhibitors", "Sodium Potassium Chloride Symporter Inhibitors"
"Chloroquine diphosphate", "Chloroquine diphosphate"
"Benazepril", "Benazepril"
"Lubiprostone", "Lubiprostone"
"Sulfanilamide", "Sulfanilamide"
"Kininogens", "Kininogens"
"Antineoplastic Agents, Alkylating", "Antineoplastic Agents, Alkylating"
"Trioxsalen", "Trioxsalen"
"Netilmicin", "Netilmicin"
"Bivalirudin", "Bivalirudin"
"Nicardipine", "Nicardipine"
"Fexofenadine", "Fexofenadine"
"Antipain", "Antipain"
"Pimavanserin", "Pimavanserin"
"Dipyridamole", "Dipyridamole"
"Maytansine", "Maytansine"
"Imidapril", "Imidapril"
"Eucalyptol", "Eucalyptol"
"Buspirone", "Buspirone"
"Carbetapentane", "Carbetapentane"
"Bryostatin 1", "Bryostatin 1"
"LU 135252", "LU 135252"
"Teriparatide", "Teriparatide"
"Nizatidine", "Nizatidine"
"Flupenthixol", "Flupenthixol"
"Polyene phosphatidylcholine", "Polyene phosphatidylcholine"
"Alosetron", "Alosetron"
"Diphtheria Antitoxin", "Diphtheria Antitoxin"
"Paraproteins", "Paraproteins"
"Clindamycin palmitate", "Clindamycin palmitate"
"Betamethasone Valerate", "Betamethasone Valerate"
"Ceftizoxime", "Ceftizoxime"
"Evacetrapib", "Evacetrapib"
"Spermatocidal Agents", "Spermatocidal Agents"
"Ziprasidone", "Ziprasidone"
"CycloProvera", "CycloProvera"
"Tissue Inhibitor of Metalloproteinase-1", "Tissue Inhibitor of Metalloproteinase-1"
"Histamine H1 Antagonists", "Histamine H1 Antagonists"
"Zinc Oxide", "Zinc Oxide"
"Etidronic Acid", "Etidronic Acid"
"Flurandrenolone", "Flurandrenolone"
"Vedolizumab", "Vedolizumab"
"Artemisinine", "Artemisinine"
"Cantharidin", "Cantharidin"
"Olsalazine", "Olsalazine"
"Roxatidine acetate", "Roxatidine acetate"
"Bronopol", "Bronopol"
"Substance P", "Substance P"
"Eltoprazine", "Eltoprazine"
"Bromhexine", "Bromhexine"
"Dehydroepiandrosterone", "Dehydroepiandrosterone"
"Flucytosine", "Flucytosine"
"Rheumatoid Factor", "Rheumatoid Factor"
"Ferric gluconate", "Ferric gluconate"
"Spiramycin", "Spiramycin"
"Bufanolides", "Bufanolides"
"Glycerol", "Glycerol"
"Coagulants", "Coagulants"
"Choline", "Choline"
"Incretins", "Incretins"
"Cytochrome P-450 CYP2C9 Inhibitors", "Cytochrome P-450 CYP2C9 Inhibitors"
"Esomeprazole", "Esomeprazole"
"Iodine", "Iodine"
"Steroid Synthesis Inhibitors", "Steroid Synthesis Inhibitors"
"N-Methylaspartate", "N-Methylaspartate"
"Indomethacin", "Indomethacin"
"Dihydroergotoxine", "Dihydroergotoxine"
"Calfactant", "Calfactant"
"Tyrphostins", "Tyrphostins"
"Ketobemidone", "Ketobemidone"
"Metaxalone", "Metaxalone"
"Hirudins", "Hirudins"
"Oxiconazole", "Oxiconazole"
"Gabapentin", "Gabapentin"
"Daunorubicin", "Daunorubicin"
"Tenoxicam", "Tenoxicam"
"Liposomal doxorubicin", "Liposomal doxorubicin"
"Coenzyme Q10", "Coenzyme Q10"
"Sunscreening Agents", "Sunscreening Agents"
"Calpastatin", "Calpastatin"
"Chlorpheniramine", "Chlorpheniramine"
"Calcimimetic Agents", "Calcimimetic Agents"
"Arginine butyrate", "Arginine butyrate"
"Antidiarrheals", "Antidiarrheals"
"Lafutidine", "Lafutidine"
"Antibodies, Anticardiolipin", "Antibodies, Anticardiolipin"
"Urinastatin", "Urinastatin"
"Psyllium", "Psyllium"
"Pseudoephedrine", "Pseudoephedrine"
"Amantadine", "Amantadine"
"Lisdexamfetamine Dimesylate", "Lisdexamfetamine Dimesylate"
"Maxacalcitol", "Maxacalcitol"
"Defensins", "Defensins"
"Azosemide", "Azosemide"
"Epinephryl borate", "Epinephryl borate"
"Liraglutide", "Liraglutide"
"Diflunisal", "Diflunisal"
"Allantoin", "Allantoin"
"Hypothiocyanite ion", "Hypothiocyanite ion"
"Pituitary Adenylate Cyclase-Activating Polypeptide", "Pituitary Adenylate Cyclase-Activating Polypeptide"
"Hydrochlorothiazide", "Hydrochlorothiazide"
"Pheniramine", "Pheniramine"
"Atenolol", "Atenolol"
"Sodium Chloride Symporter Inhibitors", "Sodium Chloride Symporter Inhibitors"
"Neuromuscular Blocking Agents", "Neuromuscular Blocking Agents"
"Gemfibrozil", "Gemfibrozil"
"Cobalt", "Cobalt"
"Istradefylline", "Istradefylline"
"Calcium Carbonate", "Calcium Carbonate"
"Levoleucovorin", "Levoleucovorin"
"Tissue Inhibitor of Metalloproteinase-3", "Tissue Inhibitor of Metalloproteinase-3"
"Vatalanib", "Vatalanib"
"Cholinergic Antagonists", "Cholinergic Antagonists"
"Fluorometholone", "Fluorometholone"
"Eniluracil", "Eniluracil"
"Hydrochlorothiazide, lisinopril drug combination", "Hydrochlorothiazide, lisinopril drug combination"
"onabotulinumtoxinA", "onabotulinumtoxinA"
"Ecopipam", "Ecopipam"
"Antipruritics", "Antipruritics"
"Etonogestrel", "Etonogestrel"
"Loracarbef", "Loracarbef"
"Betaine", "Betaine"
"Hematoporphyrin Derivative", "Hematoporphyrin Derivative"
"Troglitazone", "Troglitazone"
"Bismuth tripotassium dicitrate", "Bismuth tripotassium dicitrate"
"Epicatechin gallate", "Epicatechin gallate"
"Phosphonoacetic Acid", "Phosphonoacetic Acid"
"S 20098", "S 20098"
"Polymethyl Methacrylate", "Polymethyl Methacrylate"
"Dydrogesterone", "Dydrogesterone"
"Budesonide, Formoterol Fumarate Drug Combination", "Budesonide, Formoterol Fumarate Drug Combination"
"Angiogenesis Inhibitors", "Angiogenesis Inhibitors"
"Fluocortolone", "Fluocortolone"
"Baclofen", "Baclofen"
"Contraceptives, Postcoital", "Contraceptives, Postcoital"
"Isocarboxazid", "Isocarboxazid"
"Fingolimod Hydrochloride", "Fingolimod Hydrochloride"
"Apomorphine", "Apomorphine"
"Tetracycline", "Tetracycline"
"Pinaverium", "Pinaverium"
"Difluprednate", "Difluprednate"
"Harringtonines", "Harringtonines"
"Brotizolam", "Brotizolam"
"Casopitant", "Casopitant"
"Octenidine", "Octenidine"
"Ursodeoxycholic Acid", "Ursodeoxycholic Acid"
"Ceftolozane, tazobactam drug combination", "Ceftolozane, tazobactam drug combination"
"Dexmethylphenidate Hydrochloride", "Dexmethylphenidate Hydrochloride"
"Progesterone", "Progesterone"
"Modafinil", "Modafinil"
"Immunoglobulin Fragments", "Immunoglobulin Fragments"
"Roscovitine", "Roscovitine"
"Adapalene, Benzoyl Peroxide Drug Combination", "Adapalene, Benzoyl Peroxide Drug Combination"
"Dermatan Sulfate", "Dermatan Sulfate"
"Lomustine", "Lomustine"
"Ammonium trichloro(dioxoethylene-O,O'-)tellurate", "Ammonium trichloro(dioxoethylene-O,O'-)tellurate"
"Vitamin K 1", "Vitamin K 1"
"Protease Inhibitors", "Protease Inhibitors"
"Dihydrexidine", "Dihydrexidine"
"Pancreatic Polypeptide", "Pancreatic Polypeptide"
"Pomalidomide", "Pomalidomide"
"Reserpine", "Reserpine"
"Perhexiline", "Perhexiline"
"Duloxetine Hydrochloride", "Duloxetine Hydrochloride"
"Acetaminophen, dextropropoxyphene, drug combination", "Acetaminophen, dextropropoxyphene, drug combination"
"Brexpiprazole", "Brexpiprazole"
"Procaterol", "Procaterol"
"Clomipramine", "Clomipramine"
"Fomepizole", "Fomepizole"
"Dopamine Agonists", "Dopamine Agonists"
"Clidinium", "Clidinium"
"Cefamandole nafate", "Cefamandole nafate"
"Meclocycline", "Meclocycline"
"Antidepressive Agents, Second-Generation", "Antidepressive Agents, Second-Generation"
"Risperidone", "Risperidone"
"Naftifine", "Naftifine"
"Pyrantel Pamoate", "Pyrantel Pamoate"
"Cold agglutinins", "Cold agglutinins"
"Vesnarinone", "Vesnarinone"
"Free Radical Scavengers", "Free Radical Scavengers"
"Follicle Stimulating Hormone", "Follicle Stimulating Hormone"
"Chlorine dioxide", "Chlorine dioxide"
"Magnesium Hydroxide", "Magnesium Hydroxide"
"Cidofovir", "Cidofovir"
"Ditiocarb", "Ditiocarb"
"Haloperidol decanoate", "Haloperidol decanoate"
"Sarpogrelate", "Sarpogrelate"
"Vitamin K", "Vitamin K"
"Tolbutamide", "Tolbutamide"
"Nitroarginine", "Nitroarginine"
"Dequalinium", "Dequalinium"
"Serotonin 5-HT3 Receptor Antagonists", "Serotonin 5-HT3 Receptor Antagonists"
"Equol", "Equol"
"Chloroprocaine", "Chloroprocaine"
"Rubitecan", "Rubitecan"
"Pectin", "Pectin"
"Pyrimethamine", "Pyrimethamine"
"Estrogen Receptor Antagonists", "Estrogen Receptor Antagonists"
"Atrasentan", "Atrasentan"
"Palivizumab", "Palivizumab"
"Pralidoxime", "Pralidoxime"
